Ticker,Name,Country,Sector,LastPrice,LastPrice+1M,T12M_DVDS_PAID,TRAIL_12M_EARN_FOR_COMMON,TOTAL_EQUITY,BS_TOT_ASSET,TRAIL_12M_CASH_FROM_OPER,TRAIL_12M_FREE_CASH_FLOW,TRAIL_12M_OPER_MARGIN,TRAIL_12M_GROSS_MARGIN,TRAIL_12M_NET_SALES,TRAIL_12M_ACCT_RCV_UNBILLED_REV,VOLATILITY_90D,CUR_MKT_CAP,TRAIL_12M_EBITDA,TRAIL_12M_INT_EXP,NET_DEBT
EXC UN Equity,Exelon Corp,US,Utilities,27.77,29.57,-1085,1965,27289,95128,6488,-1173,13.4933,53.9567,30000,-341,27.044,25536.3032,7990,1096,19155
COP UN Equity,ConocoPhillips,US,Energy,46.69,39.08,-3648,-1017,44555,105949,9151,-3118,-8.9388,4.6492,34479,2506,38.932,57645.4335,5920,825,22478
PHM UN Equity,PulteGroup Inc,US,Consumer Discretionary,17.82,16.76,-106.599,481.448,4571.605,8801.578,-139.398,-180.734,12.9682,23.3604,5742.893,#N/A N/A,34.278,6221.6239,789.466,0.822,1457.459
PNW UN Equity,Pinnacle West Capital Corp,US,Utilities,64.48,66.31,-251.359,401.55,4791.319,14875.018,1034.082,-54.091,23.0813,67.7304,3487.463,-17.115,20.949,7147.5922,1357.838,182.617,3712.773
PBI UN Equity,Pitney Bowes Inc,US,Industrials,20.65,19.58,-141.618,384.161,438.397,6141.781,608.809,419.88,17.7861,58.4794,3625.026,27.543,26.305,4069.0873,826.963,#N/A N/A,2241.852
PCL UN Equity,Plum Creek Timber Co Inc,US,Financials,47.72,40.51,-310,231,1506,5004,557,474,20.1935,28,1550,#N/A N/A,34.508,8307.8826,449,#N/A N/A,3159
PNC UN Equity,PNC Financial Services Group Inc/The,US,Financials,95.31,86.65,-1256,3899,46278,362125,4577,4577,35.7726,#N/A N/A,16338,#N/A N/A,25.345,48398.9695,#N/A N/A,1019,17070
PPG UN Equity,PPG Industries Inc,US,Materials,98.82,95.12,-379,1175,5196,17574,1477,926,12.0983,43.5304,15341,-122,24.302,26609.1819,2349,139,3138
PX UN Equity,Praxair Inc,US,Materials,102.4,100,-804,1427,4813,18456,2663,1027,19.8908,41.8136,11171,7,21.042,29168.1813,3344,#N/A N/A,9381
SPN UN Equity,Superior Energy Services Inc,US,Energy,13.47,10.31,-48.251,-1551.195,2452.418,5284.388,834.187,291.084,-44.8936,36.0481,3408.041,489.822,66.815,2030.4081,-905.322,#N/A N/A,1108.982
PCP UN Equity,Precision Castparts Corp,US,Industrials,232.01,234.95,-16,1322,11505,20189,1669,1013,24.084,31.0184,9662,81,2.405,31921.8479,2664,88,4366
PGR UN Equity,Progressive Corp/The,US,Financials,31.8,31.25,-403.6,1307.4,7462,29935,2227.6,2106.5,10.0724,#N/A N/A,20607.8,#N/A N/A,20.145,18588.5072,#N/A N/A,131.8,2519.8
PEG UN Equity,Public Service Enterprise Group Inc,US,Utilities,38.69,41.3,-779,1846,12934,36424,3852,172,29.67,68.3318,10910,#N/A N/A,22.581,19575.6641,4716,389,8961
RTN UN Equity,Raytheon Co,US,Industrials,124.53,128.24,-779,2085,10692,29249,2447,2056,13.2426,24.4298,23062,#N/A N/A,20.577,37495.7329,3519,230,2273
RHI UN Equity,Robert Half International Inc,US,Industrials,47.14,43.77,-105.021,348.406,1006.476,1715.272,403.119,328.22,11.3628,41.4053,5011.789,-108.163,23.506,6254.8298,621.923,#N/A N/A,-250.622
RDC UN Equity,Rowan Cos Plc,US,Energy,16.95,12.65,-50.444,-357.943,4644.938,8341.675,881.608,-384.021,-13.2073,34.2448,2157.411,1.856,54.06,2115.5896,97.719,134.77,2516.205
MSG UN Equity,Madison Square Garden Co/The,US,Consumer Discretionary,161.8,154.08,#N/A N/A,#N/A N/A,2753.23,3744.876,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,4041.0453,#N/A N/A,#N/A N/A,-1467.093
R UN Equity,Ryder System Inc,US,Industrials,56.83,53.17,-80.899,239.54,1952.064,10820.186,1479.077,-1126.208,7.8599,21.9342,6555.45,-7.03,37.525,3036.1483,1696.552,151.663,5375.31
SCG UN Equity,SCANA Corp,US,Utilities,60.49,62.95,-305,753,5419,16506,979,-186,28.633,52.2423,4638,48,22.406,8645.0442,1764,317,6244
GNTX UW Equity,Gentex Corp,US,Consumer Discretionary,16.01,13.69,-95.5727,301.0492,1671.0956,2124.0114,382.9309,298.1234,28.9377,38.645,1488.436,-21.7916,22.29,4667.3015,512.0571,3.7,-337.0282
EIX UN Equity,Edison International,US,Utilities,59.21,61.8,-524,1519,13631,51270,4049,173,19.2161,61.9582,12297,21,20.043,19291.2822,4405,557,12272
SLB UN Equity,Schlumberger Ltd,US,Energy,69.75,72.27,-2303,3390,38179,63342,10516,7523,11.9194,21.4263,40371,2440,30.089,87961.9872,8992,341,5643
SCHW UN Equity,Charles Schwab Corp/The,US,Financials,32.93,25.53,-375,1315,13196,170402,1214,920,34.4513,#N/A N/A,6351,#N/A N/A,35.525,43353.1128,2527,119,-4766
SHW UN Equity,Sherwin-Williams Co/The,US,Materials,259.6,255.67,-240.327,984.892,976.165,6102.023,1102.722,880.09,13.3116,48.2564,11304.12,#N/A N/A,26.898,24168.8943,1702.275,57.643,1869.109
SJM UN Equity,JM Smucker Co/The,US,Consumer Staples,123.34,128.32,-286.6,383,7233.2,16694.8,1229.8,978.4,13.1058,35.7029,6916.8,-16,24.029,14760.7036,1265,#N/A N/A,5725.5
SNA UN Equity,Snap-on Inc,US,Industrials,171.43,161.56,-123.3,463.5,2378.8,4491.4,449.3,367.8,20.7199,50.477,3595.1,-40.5,20.485,9950.8443,826.5,52.7,818.5
SO UN Equity,Southern Co/The,US,Utilities,46.79,48.92,-2005,2396,22082,75215,6216,-663,23.9065,67.5125,17970,170,17.806,42529.2513,6578,828,26020
BBT UN Equity,BB&T Corp,US,Financials,37.81,32.66,-900,1985,27264,208809,3639,3639,31.7917,#N/A N/A,10176,#N/A N/A,24.293,29497.4724,#N/A N/A,727,24684
LUV UN Equity,Southwest Airlines Co,US,Industrials,43.06,37.62,-180,1835,6968,21159,3118,1420,19.0591,#N/A N/A,19471,52,31.522,28004.2907,4714,97,-428
SWN UN Equity,Southwestern Energy Co,US,Energy,7.11,8.89,-52,-2223,4437,10725,1788,-5232,-99.8307,40.3667,3545,102,74.364,2733.6427,-2413,72,4649
SWK UN Equity,Stanley Black & Decker Inc,US,Industrials,106.73,94.34,-320,764,5720.6,15870.9,1115.7,824,11.834,36.3333,11308.9,#N/A N/A,22.678,15980.29,1758,#N/A N/A,4011
PSA UN Equity,Public Storage,US,Financials,247.7,253.56,-1321.201,1034.004,9178.608,9654.815,1764.979,1187.339,50.8345,#N/A N/A,2338.063,#N/A N/A,18.614,42890.6368,1618.816,0,145.057
GT UW Equity,Goodyear Tire & Rubber Co/The,US,Consumer Discretionary,32.67,28.41,-66,2816,4952,17515,1914,969,9.6499,25.711,16736,106,29.213,8785.229,2316,424,4310
IDXX UW Equity,IDEXX Laboratories Inc,US,Health Care,72.92,70.14,0,173.69,-38.803,1477.21,169.771,84.235,17.2312,54.9967,1554.166,-46.186,30.312,6633.0613,334.307,26.709,792.507
STI UN Equity,SunTrust Banks Inc,US,Financials,42.84,36.58,-508,1777,23664,187036,260,135,31.859,#N/A N/A,8548,#N/A N/A,27.199,21831.8199,#N/A N/A,522,8235
SYY UN Equity,Sysco Corp,US,Consumer Staples,41,39.81,-704.262,652.38,5349.928,13371.551,1231.384,686.132,2.5764,17.6252,48798.282,44.826,15.389,23145.1206,1812.209,350.78,2699.978
TE UN Equity,TECO Energy Inc,US,Utilities,26.65,27.12,-210.5,133.8,2561.6,8816.9,638,-100.7,19.8415,62.8253,2762.9,35.4,38.972,6268.8997,895.9,188.3,3923.6
TER UN Equity,Teradyne Inc,US,Information Technology,20.67,19.43,-51.428,103.308,2045.605,2661.884,547.563,458.206,7.6958,55.3308,1644.37,80.613,32.382,4248.0433,268.827,#N/A N/A,-1077.158
MDVN UW Equity,Medivation Inc,US,Health Care,48.34,32.7,0,266.423,671.668,1020.594,274.246,259.287,40.0707,#N/A N/A,840.24,-69.522,56.308,7913.7439,343.283,17.584,-386.804
TSO UN Equity,Tesoro Corp,US,Energy,105.37,87.25,-206,1631,7859,16601,2164,1183,9.4648,20.4805,30883,#N/A N/A,33.256,12685.5393,3629,#N/A N/A,2832
TXN UW Equity,Texas Instruments Inc,US,Information Technology,54.81,52.93,-1414,2932,9970,16540,4110,3598,32.3547,58.0199,13080,-18,31.737,55599.9244,5409,90,1397
TXT UN Equity,Textron Inc,US,Industrials,42.01,34.22,-28,683,4696,14898,1057,597,8.4804,18.5643,13596,-11,26.782,11496.8939,1619,176,3275
TMO UN Equity,Thermo Fisher Scientific Inc,US,Health Care,141.85,132.06,-240.7,1974,20850.2,41147.1,2542.5,2092.3,13.5972,46.708,16805.7,-174,24.108,56612.0069,3977.5,428.1,12808.5
TIF UN Equity,Tiffany & Co,US,Consumer Discretionary,76.29,63.84,-201.354,496.982,2871,5165.8,864.838,612.014,19.247,60.055,4176.362,-42.019,25.782,9781.2811,1002.783,#N/A N/A,353.9
TJX UN Equity,TJX Cos Inc/The,US,Consumer Discretionary,70.91,71.24,-524.297,2259.422,4350.461,11992.433,2836.203,1979.913,12.1062,28.6641,30286.816,-16.529,24.922,47476.3095,4271.092,58.808,-499.043
TMK UN Equity,Torchmark Corp,US,Financials,57.16,54.34,-66.595,540.892,4283.302,20119.24,686.423,650.875,22.5291,#N/A N/A,3884.068,#N/A N/A,20.307,7049.5577,#N/A N/A,76.427,1302.269
TSS UN Equity,Total System Services Inc,US,Information Technology,49.8,40.16,-73.914,357.818,1904.167,3889.522,630.641,573.556,19.9783,33.7149,2697.802,-38.867,28.215,9162.6726,793.385,40.9,971.854
BF/A UN Equity,Brown-Forman Corp,US,Consumer Staples,110.11,106.29,-259,690,1707,4334,643,514,33.0457,69.6708,3129,#N/A N/A,23.369,20905.2002,1085,30,998
TYC UN Equity,Tyco International Plc,US,Industrials,31.89,34.39,-323,551,4076,12321,537,291,8.9275,36.6795,9902,-150,21.958,13481.6853,1226,102,1745
KEX UN Equity,Kirby Corp,US,Industrials,52.62,50.65,0,243.005,2253.678,4165.939,490.813,104.565,17.5874,27.1154,2331.691,#N/A N/A,32.651,2841.9535,608.46,19.607,807.933
UNP UN Equity,Union Pacific Corp,US,Industrials,78.2,72,-2323,5086,20599,53763,7652,3209,37.3803,#N/A N/A,22758,127,27.58,66792.2313,10491,604,12241
UNH UN Equity,UnitedHealth Group Inc,US,Health Care,117.64,115.16,-1668,6105,34693,108272,8658,7182,7.7024,24.7664,146941,-1273,28.67,112123.6792,12908,681,21857
UNM UN Equity,Unum Group,US,Financials,33.29,28.64,-170.9,358.8,8581.1,61503.8,1279,1279,5.818,#N/A N/A,10647.9,#N/A N/A,24.972,8104.364,#N/A N/A,152.4,2613.9
MRO UN Equity,Marathon Oil Corp,US,Energy,12.59,9.73,-569,-485,19335,34674,2368,-2148,-30.7467,23.4707,6817,1150,61.302,8526.7051,1048,#N/A N/A,5978
ERIE UW Equity,Erie Indemnity Co,US,Financials,95.64,96.11,-124.24,170.129,8125,18115,52.762,17.334,11.5339,#N/A N/A,3666.087,#N/A N/A,19.847,5001.003,#N/A N/A,#N/A N/A,-15268
X UN Equity,United States Steel Corp,US,Materials,7.98,7,-29,-234,3172,11191,551,7,-2.6924,8.3831,13074,642,84.024,1167.2648,204,223,2333
VAR UN Equity,Varian Medical Systems Inc,US,Health Care,80.8,77.13,0,411.489,1726.344,3600.748,469.556,378.172,17.716,41.3905,3099.071,-79.394,22.516,7756.4548,617.55,7.935,-349.522
VTR UN Equity,Ventas Inc,US,Financials,56.43,55.32,-994.775,400.305,9868.506,22413.977,1356.918,-1713.419,21.7395,#N/A N/A,3177.214,#N/A N/A,24.748,18790.2187,1668.871,341.37,11203.329
VFC UN Equity,VF Corp,US,Consumer Discretionary,62.25,62.6,-545.927,1041.485,5361.197,10651.922,1029.5,842.219,11.524,48.5433,12542.841,-185.292,34.03,26537.7404,1758.602,89.391,2143.432
INCY UW Equity,Incyte Corp,US,Health Care,108.45,70.56,0,-85.591,88.737,931.932,61.247,36.285,-6.3192,96.8926,633.843,22.633,66.022,20171.8969,6.446,47.906,-11.112
VNO UN Equity,Vornado Realty Trust,US,Financials,99.96,88.46,-493.052,962.352,8558.386,19971.926,750.266,-680.246,29.652,#N/A N/A,2447.696,#N/A N/A,21.192,18846.5462,1245.692,390.823,9218.87
VMC UN Equity,Vulcan Materials Co,US,Materials,94.97,88.2,-47.789,170.31,4363.277,8316.866,391.947,121.5,14.3567,23.2916,3319.922,#N/A N/A,34.145,12661.304,752.04,#N/A N/A,1810.942
PRA UN Equity,ProAssurance Corp,US,Financials,48.53,50.12,-218.59,146.362,2006.79,4963.004,100.442,94.06,24.8108,#N/A N/A,804.178,#N/A N/A,13.723,2579.0312,#N/A N/A,14.365,148.658
SPXC UN Equity,SPX Corp,US,Industrials,9.33,9.3,-46.1,-109.8,319.1,2278.8,25.4,-15.4,-8.8683,20.8158,2380.4,-43.7,40.541,380.7076,-140.1,36.2,339.5
GHC UN Equity,Graham Holdings Co,US,Consumer Discretionary,484.97,484.69,-61.989,181.955,2585.838,4524.329,151.6,-43.269,-0.585,54.6683,2896.053,-104.457,29.914,2832.3964,181.652,34.884,-918.245
WY UN Equity,Weyerhaeuser Co,US,Financials,29.98,25.61,-656,569,4878,12820,1039,606,13.9457,20.1484,7142,16,24.287,15304.1249,1480,349,4354
WHR UN Equity,Whirlpool Corp,US,Consumer Discretionary,146.87,134.39,-259,684,5789,19623,1450,761,5.5592,17.4088,21334,-193,37.267,11484.4167,1845,170,4114
WMB UN Equity,Williams Cos Inc/The,US,Energy,25.7,19.3,-1782,337,18260,50819,3097,-419,20.0934,49.3129,7495,204,64.885,19268.953,3172,1010,23587
WEC UN Equity,WEC Energy Group Inc,US,Utilities,51.31,55.23,-398.9,580.6,8711.4,28769.6,1237.8,220.8,21.0036,60.7573,5302.9,129.1,19.812,16197.769,1610.3,284.8,9972.3
XRX UN Equity,Xerox Corp,US,Information Technology,10.63,9.75,-326,384.994,9506,24946,1590,1308,3.7666,29.4328,18425,-81,32.734,10761.8441,1960,356,6772
ADBE UW Equity,Adobe Systems Inc,US,Information Technology,93.94,89.13,0,480.138,6841.332,11508.395,1414.74,1257.705,15.7299,84.5719,4562.435,-64.149,27.332,46857.2107,1048.927,60.347,-1762.639
AES UN Equity,AES Corp/VA,US,Utilities,9.57,9.5,-245,597,6999,37000,2080,-234,16.9927,18.1969,15695,-340,33.329,6439.2911,3855,1446,18808
DPZ UN Equity,Domino's Pizza Inc,US,Consumer Discretionary,111.25,113.93,-61.776,178.063,-1255.949,603.196,240.762,167.818,17.4626,30.2723,2118.295,#N/A N/A,24.849,6079.5058,408.368,85.872,1495.414
AMGN UW Equity,Amgen Inc,US,Health Care,162.33,152.73,-2264,6433,27967,71869,9615,9023,36.7992,79.7782,21457,-511,33.106,123086.7819,9987,#N/A N/A,641
MCY UN Equity,Mercury General Corp,US,Financials,46.57,46.43,-136.218,30.118,1829.499,4646.579,195.745,174.204,0.7306,#N/A N/A,2944.943,#N/A N/A,19.221,2569.009,#N/A N/A,3.041,-5.184
AAPL UW Equity,Apple Inc,US,Information Technology,105.26,97.34,-11561,53394,119355,290479,81266,70019,30.4773,40.0599,233715,-3124,28.872,586859.3468,82487,733,-141204
ADSK UW Equity,Autodesk Inc,US,Information Technology,60.93,46.82,0,-248.7,1733.1,5220,501.3,444,0.9919,85.5063,2520.4,#N/A N/A,33.699,13728.9405,170.7,#N/A N/A,-1337.5
CTAS UW Equity,Cintas Corp,US,Industrials,91.05,85.92,-201.941,416.874,1848.669,4122.949,575.158,362.857,15.7078,43.0185,4573.699,-28.92,20.749,9829.7135,873.622,64.99,1099.786
CMCSA UW Equity,Comcast Corp,US,Consumer Discretionary,56.43,55.71,-2401,8117,53169,158958,18456,10239,21.6214,69.7631,72997,-444,21.233,138022.7123,24283,2692,45727
TAP UN Equity,Molson Coors Brewing Co,US,Consumer Staples,93.92,90.48,-296.6,420.8,7272.7,12645.3,675.7,403.7,11.6395,39.3871,3696.9,#N/A N/A,35.325,17326.7858,752.2,#N/A N/A,2608.5
PKG UN Equity,Packaging Corp of America,US,Materials,63.05,50.83,-186.696,427,1615,5422.2,721.38,336.457,12.9183,21.1935,5784.8,28.97,29.735,6161.5232,1115.314,#N/A N/A,2161.9
KLAC UW Equity,KLA-Tencor Corp,US,Information Technology,69.35,66.99,-3060.316,398.822,294.441,4571.323,764.762,725.075,25.3388,57.4593,2813.792,-32.856,38.181,10814.8339,792.093,123.052,881.599
MKC UN Equity,McCormick & Co Inc/MD,US,Consumer Staples,85.56,87.97,-201.4,400.4,1762.2,4490.7,544.4,419.7,12.5492,40.3397,4268,#N/A N/A,20.66,10965.2156,638.9,51.9,1383.6
NDSN UW Equity,Nordson Corp,US,Industrials,64.15,60.43,-54.332,233.567,820.425,2316.357,272.491,207.955,20.3406,54.7239,1711.056,#N/A N/A,25.994,3662.0384,413.025,17.024,882.271
JWN UN Equity,Nordstrom Inc,US,Consumer Discretionary,49.81,49.1,-1178,675,1408,8586,2449,1347,8.6932,37.2716,14287,-140,40.39,9158.4634,1798,#N/A N/A,1988
TCB UN Equity,TCF Financial Corp,US,Financials,14.12,12.01,-52.432,149.197,2273.147,20125.936,448.956,398.02,21.5195,#N/A N/A,1322.394,#N/A N/A,27.536,2394.3886,#N/A N/A,67.494,434.611
NNN UN Equity,National Retail Properties Inc,US,Financials,40.05,42.94,-222.557,173.686,3165.186,5349.235,342.962,-262.265,60.3815,#N/A N/A,471.853,#N/A N/A,19.745,5453.2748,417.379,87.29,2019.991
PCAR UW Equity,PACCAR Inc,US,Industrials,47.4,49.07,-673.7,1651.1,7343.8,21519.8,2373.2,663.8,12.1053,18.2535,19878.9,-418.4,30.725,16753.8025,3325.8,#N/A N/A,5229.4
NVR UN Equity,NVR Inc,US,Consumer Discretionary,1643,1651,0,348.374,1240.49,2570.682,241.992,224.176,11.5671,19.9985,4931.771,1.234,19.545,6428.584,591.675,23.195,212.944
COST UW Equity,Costco Wholesale Corp,US,Consumer Staples,161.5,151.12,-2865,2377,10843,33440,4285,1892,3.1188,13.0242,116199,#N/A N/A,19.917,71024.0312,4751,124,-262
CBSH UW Equity,Commerce Bancshares Inc/MO,US,Financials,42.54,41.13,-86.957,250.273,2371.043,23967.648,360.331,328.16,35.6127,#N/A N/A,1107.156,#N/A N/A,24.426,4146.108,#N/A N/A,27.828,863.278
LEN/B UN Equity,Lennar Corp,US,Consumer Discretionary,40.18,34.65,-32.975,757.948,5674.697,14169.375,-978.401,-1048.949,11.7314,22.8695,9112.379,-127.378,30.756,10014.7145,1110.84,15.893,4666.143
ODFL UW Equity,Old Dominion Freight Line Inc,US,Industrials,59.07,54.83,0,302.335,1647.413,2474.485,485.933,68.231,16.7837,25.652,2958.918,#N/A N/A,27.886,4996.3962,657.282,5.35,173.965
STJ UN Equity,St Jude Medical Inc,US,Health Care,61.77,52.86,-317,1012,3997,11125,1252,1077,21.923,69.8355,5533,26,28.325,17459.9254,1524,85,2525
SYK UN Equity,Stryker Corp,US,Health Care,92.94,99.15,-507,1177,8484,15917,907,655,17.0677,65.9965,9849,-51,23.259,34901.0348,2066,#N/A N/A,110
TSN UN Equity,Tyson Foods Inc,US,Consumer Staples,53.33,53.36,-147,1220,9706,23004,2570,1716,5.2425,9.4675,41373,#N/A N/A,30.455,21111.2869,2880,293,6037
AMAT UW Equity,Applied Materials Inc,US,Information Technology,18.67,17.65,-487,1377,7613,15308,1163,946,17.5277,40.9152,9659,#N/A N/A,25.638,21454.321,2064,103,-423
TWX UN Equity,Time Warner Inc,US,Consumer Discretionary,64.67,70.44,-1137,3694,23648,62674,3982,3567,24.0443,43.2152,28564,#N/A N/A,25.52,51702.3743,7594,1381,21182
CNA UN Equity,CNA Financial Corp,US,Financials,35.15,33.23,-812,747,12265,54812,1438,1325,12.2041,#N/A N/A,9210,#N/A N/A,18.905,9499.6608,#N/A N/A,162,2325
BBBY UW Equity,Bed Bath & Beyond Inc,US,Consumer Discretionary,48.25,43.17,0,906.598,2568.268,6651.306,1042.842,706.7,12.5551,38.6225,12013.537,#N/A N/A,27.114,8052.5257,1757.149,#N/A N/A,803.532
NEU UN Equity,NewMarket Corp,US,Materials,380.73,379.27,-69.043,236.744,376.181,1288.98,261.628,156.655,16.5773,30.9164,2210.086,#N/A N/A,23.106,4563.5115,408.044,14.825,397.244
CAH UN Equity,Cardinal Health Inc,US,Health Care,89.27,81.37,-472,1332,6646,31222,2427,2080,2.1734,5.5861,106514,#N/A N/A,23.586,29368.1409,2795,#N/A N/A,2576
CELG UW Equity,Celgene Corp,US,Health Care,119.76,100.32,0,1654.9001,5375.5,27369.2,2258.4,2059.7,23.9924,95.2393,8778.2,-266.1,42.034,94089.9878,2483.4,237.7,7992
CERN UW Equity,Cerner Corp,US,Health Care,60.17,58.01,0,521.126,3837.325,5522.925,817.879,562.504,18.1824,82.6531,4176.004,-214.344,27.031,20584.442,1173.512,#N/A N/A,166.132
CINF UW Equity,Cincinnati Financial Corp,US,Financials,59.17,57.63,-288,645,6350,18751,995,985,18.5567,#N/A N/A,5141,#N/A N/A,18.485,9695.1159,#N/A N/A,53,442
FIT UN Equity,Fitbit Inc,US,Information Technology,29.59,16.6,#N/A N/A,148.631,784.172,1262.457,#N/A N/A,#N/A N/A,20.4865,47.7154,1516.612,#N/A N/A,68.139,6263.3821,327.409,#N/A N/A,-575.478
EAT UN Equity,Brinker International Inc,US,Consumer Discretionary,47.95,49.74,-71.71,197.163,-108.14,1549.331,343.262,219.452,10.254,19.6954,3053.819,0.512,24.899,2855.6593,462.01,29.774,1062.904
CVC UN Equity,Cablevision Systems Corp,US,Consumer Discretionary,31.9,31.91,-165.202,199.306,-4957.744,6745.748,1263.737,398.035,13.1633,51.0083,6511.801,#N/A N/A,30.651,8826.6747,1752.231,#N/A N/A,8147.769
CDNS UW Equity,Cadence Design Systems Inc,US,Information Technology,20.81,19.56,0,237.073,1384.562,2331.14,387.416,341.471,16.5296,84.5251,1684.11,-26.167,24.831,6190.8918,397.72,36.072,-362.435
PACW UW Equity,PacWest Bancorp,US,Financials,43.1,36.71,-205.859,295.692,3581.704,16814.105,588.124,115.724,55.0293,#N/A N/A,919.092,#N/A N/A,26.161,5180.683,#N/A N/A,61.007,751.62
DHI UN Equity,DR Horton Inc,US,Consumer Discretionary,32.03,27.51,-91.6,750.7,5895.4,11151,700.4,644.3,10.0943,21.6974,10823.9,0,34.366,11837.3567,1146.7,#N/A N/A,1949.8
CY UW Equity,Cypress Semiconductor Corp,US,Information Technology,9.81,7.86,-108.809,-303.035,2842.299,4081.932,-7.779,-52.767,-20.7233,26.1181,1341.822,-88.008,40.378,3274.8006,-100.421,#N/A N/A,402.999
FLS UN Equity,Flowserve Corp,US,Industrials,42.08,38.64,-91.831,355.322,1704.546,5158.255,575.802,388.253,13.4821,33.8426,4654.701,14.151,32.84,5506.9728,754.095,62.728,1441.11
1396924D UW Equity,Liberty Media Corp,US,Consumer Discretionary,39.25,36.62,0,93,18442,30680,1199,995,20.141,62.3024,4682,#N/A N/A,21.181,12852.0431,1302,314,6195
EA UW Equity,Electronic Arts Inc,US,Information Technology,68.72,64.545,0,839,3159,6000,818,729,22.0605,71.8873,4329,75,34.774,21358.7141,1162,24,-2166
RBC UN Equity,Regal Beloit Corp,US,Industrials,58.52,56.21,-39.7,46.1,2030.5,4878.4,338.3,249.7,4.4507,25.6706,3511.8,#N/A N/A,25.217,2613.5853,311.5,53.7,1559.1
UHS UN Equity,Universal Health Services Inc,US,Health Care,119.49,112.64,-39.567,679.351,4443.929,9206.878,1142.821,791.454,14.1489,#N/A N/A,8904.503,-68.392,38.947,11823.1478,1653.704,116.177,3055.314
ESRX UW Equity,Express Scripts Holding Co,US,Health Care,87.41,71.87,0,2284.7,16546.2,51996.5,4898.7,4612,3.9929,8.0801,101889,-1090.8,21.662,59113.2852,6380.7,499.2,15248.7
REGN UW Equity,Regeneron Pharmaceuticals Inc,US,Health Care,542.87,420.09,0,571.157,3296.867,5182.915,1232.907,615.211,32.4749,91.0359,3807.98,-560.195,41.128,56493.7822,1302.771,16.982,-1182.101
AGCO UN Equity,AGCO Corp,US,Industrials,45.39,48.77,-41.6,281.9,2973.5,7071.6,725.9,506.6,4.894,20.7819,7993.5,-28.5,35.118,3881.7416,655,#N/A N/A,1115.6
EXPD UW Equity,Expeditors International of Washington I,US,Industrials,45.1,45.12,-130.608,442.155,1842.192,2827.018,538.33,495.605,10.3305,14.5336,6789.241,-56.603,23.163,8407.2419,747.539,0,-976.943
SWKS UW Equity,Skyworks Solutions Inc,US,Information Technology,76.83,68.92,-123.1,798.3,3159.2,3719.4,992.8,562.7,31.3988,47.7075,3258.4,-222.2,43.155,14686.1384,1218.9,#N/A N/A,-1043.6
FAST UW Equity,Fastenal Co,US,Industrials,40.82,40.56,-320.018,522.848,1783.491,2495.277,568.435,403.046,21.6553,50.5062,3872.648,-35.475,25.539,11825.3564,918.33,2.421,203.225
OFC UN Equity,Corporate Office Properties Trust,US,Financials,21.83,22.3,-101.754,109.631,1599.515,3918.473,198.309,-276.268,21.8065,#N/A N/A,629.112,#N/A N/A,20.377,2063.6608,274.455,90.013,2117.4
MTB UN Equity,M&T Bank Corp,US,Financials,121.18,110.18,-455.501,996.869,12921.934,97797.062,1572.371,1506.866,37.0445,#N/A N/A,4853.651,#N/A N/A,27.012,21542.1987,#N/A N/A,307.696,4385.102
ATVI UW Equity,Activision Blizzard Inc,US,Information Technology,38.71,34.82,-170,1083,7989,14302,1358,1246,30.8574,65.664,4887,158,28.457,28304.1264,2030,203,-441
FISV UW Equity,Fiserv Inc,US,Information Technology,91.46,94.56,0,704,2869,9387,1301,942,24.9712,44.2907,5202,-34,22.092,20902.1492,1715,172,3926
FITB UW Equity,Fifth Third Bancorp,US,Financials,20.1,15.8,-503,1352,15858,141918,2038,1805,31.8946,#N/A N/A,6562,#N/A N/A,29.736,15966.0567,#N/A N/A,492,16114
HFC UN Equity,HollyFrontier Corp,US,Energy,39.89,34.97,-348.803,560.163,6181.684,9071.637,856.004,186.419,6.4939,9.7501,14577.48,168.367,35.188,7296.0956,1302.718,41.94,356.062
RPM UN Equity,RPM International Inc,US,Materials,44.06,39.25,-138.826,240.22,1297.022,4661.407,462.276,376.928,11.1513,42.4316,4633.18,1.174,21.088,5862.0077,620.41,90.66,1562.733
JKHY UW Equity,Jack Henry & Associates Inc,US,Information Technology,78.06,81.18,-78.568,216.499,954.284,1714.197,407.338,361.506,25.6027,42.8743,1276.334,11.649,17.729,6239.2679,447.528,1.548,-83.378
FHN UN Equity,First Horizon National Corp,US,Financials,14.52,12.73,-69.374,79.758,2580.245,25387.319,326.726,292.296,10.3796,#N/A N/A,1232.924,#N/A N/A,26.67,3401.1212,#N/A N/A,82.115,1372.39
GILD UW Equity,Gilead Sciences Inc,US,Health Care,101.19,83,-1260,16912,17944,50637,18475.667,17727.216,66.4674,87.2579,31447,-3361.03,29.786,145833.022,21997.381,588,-2885
ICPT UW Equity,Intercept Pharmaceuticals Inc,US,Health Care,149.35,106.23,0,-173.0001,677.883,716.747,-129.3592,-135.7262,-6308.3632,#N/A N/A,2.7804,#N/A N/A,67.725,3633.9134,-174.1064,#N/A N/A,-695.708
HAS UW Equity,Hasbro Inc,US,Consumer Discretionary,67.36,74.28,-222.459,445.986,1584.01,4580.246,497.143,364.137,15.3427,61.7121,4280.748,-220.757,28.871,8394.6424,815.831,95.974,1122.573
